name,context,attention,position,conv,train_loss,val_loss,ppl,epoch_seconds,train_tps,infer_tps,peak_memory_mb,stable
baseline_ctx1024,1024,standard,learned,none,0.6669351604282856,0.02037719334475696,1.0205862257661324,44.549346646999766,22985.746752112304,106050.94884953402,1831.2080078125,True
attention_standard_ctx512,512,standard,alibi,none,0.3642822433263063,0.002782682015094906,1.0027865572683923,24.53380662699965,20869.16261239868,68494.36935011097,971.92578125,True
attention_local_ctx512,512,local,alibi,none,0.36390313937794416,0.0027718343771994114,1.002775679461932,25.68152060799912,19936.51418913744,52146.41041532413,971.92578125,True
attention_sparse_block_ctx512,512,sparse_block,alibi,none,0.3637681703190319,0.0027833901840494946,1.0027872674109517,24.209401891001107,21148.808314439022,53133.7790971438,971.92578125,True
attention_linear_ctx512,512,linear,alibi,none,0.4491590676531196,0.01652110752183944,1.0166583356976064,30.740639850999287,16655.47634927828,78498.03013893345,1055.9150390625,True
attention_gqa_ctx512,512,gqa,alibi,none,0.360057095117867,0.0031241684046108276,1.0031290537048965,23.762936471001012,21546.158683915888,61895.406591939034,969.3828125,True
attention_standard_ctx1024,1024,standard,alibi,none,0.36194699657708407,0.002595072553958744,1.0025984426693397,45.73549707199891,22389.611255082076,76679.3641898976,1828.9501953125,True
attention_local_ctx1024,1024,local,alibi,none,0.3608906217874028,0.0023466856800951064,1.0023494413020402,49.9382254989996,20505.334135681565,63828.483555800776,1828.9501953125,True
attention_sparse_block_ctx1024,1024,sparse_block,alibi,none,0.36082188101299106,0.002356793367653154,1.0023595727882197,50.57021736600109,20249.07254380216,89779.78701201324,1828.9501953125,True
attention_linear_ctx1024,1024,linear,alibi,none,0.4734176343530416,0.014655040577054024,1.0147629521894863,53.78512305300137,19038.721896962506,91201.842561097,1855.9677734375,True
attention_gqa_ctx1024,1024,gqa,alibi,none,0.357671197807882,0.0025600584340281785,1.0025633381818058,60.82153590500093,16836.14175083342,44435.467348725986,1826.4072265625,True
attention_standard_ctx2048,2048,standard,alibi,none,0.35962247633794325,0.0021277047198964283,1.0021299698898367,112.51705776800009,18201.684621213517,49313.326377108424,3989.294921875,True
attention_local_ctx2048,2048,local,alibi,none,0.3596775729563087,0.002116908537573181,1.0021191507703728,122.12327449899931,16769.94011503337,38097.21429405082,3989.419921875,True
attention_sparse_block_ctx2048,2048,sparse_block,alibi,none,0.3596967531396076,0.0022580151562578976,1.0022605663923627,115.7793162049984,17688.8244561215,53212.00488057991,3987.419921875,True
attention_linear_ctx2048,2048,linear,alibi,none,0.5080337751284242,0.022361088078469038,1.0226129711647451,95.00850344500031,21555.96526352582,108268.53345231044,3453.3486328125,True
attention_gqa_ctx2048,2048,gqa,alibi,none,0.3565199503162876,0.002120672055752948,1.002122922271112,113.4771537710003,18047.685652505126,40649.712882734806,3986.1806640625,True
position_learned_train512,512,standard,learned,none,0.6314432763177902,0.012233493267558515,1.0123086285225962,24.393699147000007,20989.026588981564,103412.40051701362,976.4296875,True
position_rope_train512,512,standard,rope,none,0.3827393845487386,0.002743838675087318,1.0027476064456882,27.43643001899909,18661.319991174212,54024.83432842408,973.42578125,True
position_alibi_train512,512,standard,alibi,none,0.3642822433263063,0.002782682015094906,1.0027865572683923,24.116738007000095,21230.06850476161,64665.728285496945,971.92578125,True
position_relative_train512,512,standard,relative,none,0.3724453245238401,0.0030237839673645794,1.0030283602134693,23.717775862000053,21587.184354006476,91859.89190048951,982.806640625,True
hybrid_pre_conv_ctx512,512,linear,alibi,pre_conv,0.343657898964826,0.0029730158566962928,1.0029774396512559,31.949968986000385,16025.054679218769,39561.521319803986,1069.7275390625,True
hybrid_interleaved_ctx512,512,linear,alibi,interleaved,0.34392952852277087,0.0029837025504093617,1.0029881582212274,38.40961272799905,13329.996415891295,61683.44977131953,1069.7275390625,True
hybrid_replace_every_other_ctx512,512,linear,alibi,replace_every_other,0.3644837500648573,0.0031495076837018132,1.0031544725939994,25.86205778099975,19797.34189505038,109911.34890846351,971.9775390625,True
hybrid_gated_ffn_ctx512,512,linear,alibi,gated_ffn,0.49322665958246215,0.0029308458761079237,1.0029351450038837,30.802842577000774,16621.842569240333,68343.8496555874,1089.7314453125,True
position_learned_train512_eval512,512,standard,learned,none,,0.012233493267558515,1.0123086285225962,,,74444.8003214617,976.4296875,True
position_learned_train512_eval1024,1024,standard,learned,none,,0.20940891839563847,1.2329490710169988,,,66376.28016403592,976.4296875,True
position_learned_train512_eval2048,2048,standard,learned,none,,0.31530945375561714,1.3706834084628403,,,52032.411098014476,976.4296875,True
position_rope_train512_eval512,512,standard,rope,none,,0.002743838675087318,1.0027476064456882,,,57867.311808049366,973.42578125,True
position_rope_train512_eval1024,1024,standard,rope,none,,0.0029626275063492358,1.002967020424342,,,66097.66410764969,973.42578125,True
position_rope_train512_eval2048,2048,standard,rope,none,,0.0032049088331405073,1.0032100500443588,,,53786.86418976774,973.42578125,True
position_alibi_train512_eval512,512,standard,alibi,none,,0.002782682015094906,1.0027865572683923,,,75255.82294672735,971.92578125,True
position_alibi_train512_eval1024,1024,standard,alibi,none,,0.002335595156182535,1.002338324783237,,,74910.01413984918,971.92578125,True
position_alibi_train512_eval2048,2048,standard,alibi,none,,0.00211179067264311,1.0021140220730393,,,48895.16642785321,971.92578125,True
position_relative_train512_eval512,512,standard,relative,none,,0.0030237839673645794,1.0030283602134693,,,69559.35304657447,982.806640625,True
position_relative_train512_eval1024,1024,standard,relative,none,,0.0028636716888286173,1.0028677759133815,,,51703.85536283837,982.806640625,True
position_relative_train512_eval2048,2048,standard,relative,none,,0.017698789481073618,1.0178563411745183,,,30414.024797895316,982.806640625,True
